event_id,area_peril_id,intensity_bin_id,probability
11,35084,2,1
11,35117,2,1
11,35211,2,1
11,35223,2,1
11,40065,2,1
11,40094,2,1
11,40133,2,1
11,40134,2,1
11,40155,2,1
11,40296,2,1
11,40312,2,1
11,40326,2,1
11,44027,2,1
11,44036,2,1
11,44087,2,1
11,44110,2,1
11,44114,2,1
11,44157,2,1
11,44162,2,1
11,44209,2,1
11,56012,2,1
11,56033,2,1
11,56043,2,1
11,56075,2,1
11,56226,2,1
11,64024,2,1
11,64102,2,1
11,64122,2,1
11,64125,2,1
11,64140,2,1
11,64249,2,1
11,64483,2,1
11,64513,2,1
11,85204,2,1
11,3529000,1,0.818053230386102
11,3529000,2,0.181946769613898
11,3533000,1,0.947856452850224
11,3533000,2,0.0521435471497756
11,3538000,1,0.324343341244686
11,3538000,2,0.675656658755314
11,4013000,1,0
11,4013000,2,1
11,4021000,1,0.297820891444446
11,4021000,2,0.702179108555554
11,4022000,1,0
11,4022000,2,1
11,4026000,1,0.682773621847591
11,4026000,2,0.317226378152409
11,4051000,1,0
11,4051000,2,1
11,4053000,1,0
11,4053000,2,1
11,4056000,1,0.666666666666667
11,4056000,2,0.333333333333333
11,4411000,1,0.510206093112888
11,4411000,2,0.489793906887112
11,4411900,1,0.385922788111105
11,4411900,2,0.614077211888895
11,4427000,1,0.539278755741447
11,4427000,2,0.460721244258553
11,4439000,1,0.487560308443479
11,4439000,2,0.512439691556521
11,4470000,1,0
11,4470000,2,1
11,4480000,1,0
11,4480000,2,1
11,5638000,1,0.489744094981236
11,5638000,2,0.510255905018764
11,5643000,1,0.874672496455458
11,5643000,2,0.125327503544542
11,5691000,1,0.53743272218039
11,5691000,2,0.46256727781961
11,6410000,1,0
11,6410000,2,1
11,6420000,1,0.460481386226608
11,6420000,2,0.539518613773392
11,6421000,1,0.28820749723011
11,6421000,2,0.71179250276989
11,6434000,1,0
11,6434000,2,1
11,6439000,1,0.620312654466397
11,6439000,2,0.379687345533603
11,6450000,1,0.5
11,6450000,2,0.5
11,6460000,1,0
11,6460000,2,1
11,8567000,1,0.739138257505297
11,8567000,2,0.260861742494703
12,2267,2,1
12,2729,2,1
12,2822,2,1
12,16015,2,1
12,16025,2,1
12,16036,2,1
12,16041,2,1
12,16046,3,1
12,16071,3,1
12,16093,2,1
12,16105,2,1
12,16120,2,1
12,16134,3,1
12,16146,2,1
12,16182,3,1
12,16225,2,1
12,16276,3,1
12,16353,3,1
12,16382,3,1
12,16418,2,1
12,17074,2,1
12,17104,2,1
12,33047,2,1
12,33056,2,1
12,33058,2,1
12,33063,2,1
12,33199,2,1
12,33417,2,1
12,33528,2,1
12,33529,2,1
12,33555,2,1
12,40295,2,1
12,59212,2,1
12,59581,2,1
12,60207,2,1
12,60637,2,1
12,62126,2,1
12,62178,2,1
12,62252,2,1
12,62479,2,1
12,62820,2,1
12,62851,2,1
12,68068,2,1
12,77108,2,1
12,78171,2,1
12,78366,2,1
12,78404,2,1
12,78420,2,1
12,87011,3,1
12,87017,2,1
12,87108,3,1
12,87121,2,1
12,260000,1,0.964817806954406
12,260000,2,0.0351821930455942
12,1600000,1,0
12,1600000,2,1
12,1615000,1,0.761043787167492
12,1615000,3,0.238956212832508
12,1622000,1,0.881385219937791
12,1622000,3,0.118614780062209
12,1625000,1,0.881074371497465
12,1625000,2,0.03041855690043
12,1625000,3,0.0885070716021045
12,1631000,1,0.829226798975817
12,1631000,2,0.170773201024183
12,1636000,1,0.358314704945731
12,1636000,2,0.475723312189612
12,1636000,3,0.165961982864657
12,1638000,1,0.63660703259658
12,1638000,2,0.36339296740342
12,1640000,1,0.87620807556308
12,1640000,2,0.12379192443692
12,1641000,1,0.534805221092173
12,1641000,2,0.37923321114919
12,1641000,3,0.085961567758637
12,1642000,1,0.81651502200424
12,1642000,3,0.18348497799576
12,1721000,1,0.69833673527363
12,1721000,2,0.30166326472637
12,3300000,1,0
12,3300000,2,1
12,3326000,1,0.5
12,3326000,2,0.5
12,3329000,1,0.692293278156872
12,3329000,2,0.307706721843128
12,3338000,1,0.885999608129777
12,3338000,2,0.114000391870223
12,3339000,1,0.585419807024318
12,3339000,2,0.414580192975682
12,3347000,1,0.5
12,3347000,2,0.5
12,3348000,1,0.832683228700423
12,3348000,2,0.167316771299577
12,3368000,1,0.973661328960397
12,3368000,2,0.0263386710396032
12,4041000,1,0.830217320519735
12,4041000,2,0.169782679480265
12,5918100,1,0.5
12,5918100,2,0.5
12,5994000,1,0.278440889180048
12,5994000,2,0.721559110819952
12,6012300,1,0.76707530647986
12,6012300,2,0.23292469352014
12,6089000,1,0.874554759915755
12,6089000,2,0.125445240084244
12,6212200,1,0.681788920212552
12,6212200,2,0.318211079787448
12,6212700,1,0.816233221790451
12,6212700,2,0.183766778209549
12,6213600,1,0.678077734264616
12,6213600,2,0.321922265735384
12,6266000,1,0
12,6266000,2,1
12,6270000,1,0.5
12,6270000,2,0.5
12,6821000,1,0.862776283011157
12,6821000,2,0.137223716988843
12,7750000,1,0.5
12,7750000,2,0.5
12,7811300,1,0.639448504678452
12,7811300,2,0.360551495321548
12,7849000,1,0.694982272848275
12,7849000,2,0.305017727151725
12,7894000,1,0.881339093431623
12,7894000,2,0.118660906568377
12,8729000,1,0.867829982571588
12,8729000,2,0.132170017428412
12,8730000,1,0.432288801956079
12,8730000,2,0.0564182397883021
12,8730000,3,0.511292958255619
12,8733000,1,0.907913378156869
12,8733000,3,0.0920866218431307
13,2007,2,1
13,2072,2,1
13,2215,2,1
13,2217,4,1
13,2326,2,1
13,2454,4,1
13,2553,4,1
13,2676,3,1
13,2696,2,1
13,2722,2,1
13,2758,2,1
13,2795,3,1
13,8046,4,1
13,8356,4,1
13,8396,4,1
13,8451,4,1
