event_id,area_peril_id,intensity_bin_id,probability
1,1,86,1
1,2,60,1
1,3,60,1
1,4,81,1
1,5,49,1
1,6,23,1
1,7,23,1
1,8,300,1
1,9,300,1
1,10,60,1
1,11,602,1
1,12,342,1
1,13,28,1
1,14,28,1
1,15,28,1
1,16,27,1
1,17,27,1
1,18,27,1
1,19,602,1
1,20,602,1
1,21,29,1
1,22,28,1
1,23,27,1
1,24,27,1
1,25,27,1
1,26,27,1
1,27,27,1
1,28,478,1
1,29,602,1
1,30,602,1
1,31,290,1
1,32,32,1
1,33,89,1
1,34,226,1
1,35,602,1
1,36,453,1
1,37,26,1
1,38,536,1
1,39,288,1
1,40,23,1
1,41,41,1
1,42,26,1
1,43,26,1
1,44,26,1
1,45,26,1
1,46,23,1
1,47,121,1
1,48,47,1
1,49,136,1
1,50,22,1
1,51,25,1
1,52,26,1
1,53,23,1
1,54,73,1
1,55,25,1
1,56,25,1
1,57,22,1
1,58,22,1
1,59,23,1
1,60,22,1
1,61,23,1
1,62,22,1
1,63,23,1
1,64,22,1
1,65,23,1
1,66,22,1
1,67,30,1
1,68,105,1
1,69,105,1
1,70,121,1
1,71,121,1
1,72,116,1
1,73,41,1
1,74,122,1
1,75,82,1
1,76,55,1
1,77,111,1
1,78,111,1
1,79,22,1
1,80,22,1
1,81,22,1
1,82,22,1
1,83,23,1
1,84,25,1
1,85,26,1
1,86,26,1
1,87,22,1
1,88,22,1
1,89,25,1
1,90,22,1
1,91,24,1
1,92,22,1
1,93,22,1
1,94,22,1
1,95,25,1
1,96,26,1
1,97,27,1
1,98,28,1
1,99,24,1
1,100,23,1
1,101,22,1
1,102,25,1
1,103,23,1
1,104,23,1
1,105,27,1
1,106,22,1
1,107,22,1
1,108,29,1
1,109,28,1
1,110,28,1
1,111,28,1
1,112,24,1
1,113,27,1
1,114,27,1
1,115,26,1
1,116,28,1
1,117,28,1
1,118,28,1
1,119,27,1
1,120,50,1
1,121,126,1
1,122,126,1
1,123,54,1
1,124,54,1
1,125,75,1
1,126,138,1
1,127,34,1
1,128,89,1
1,129,67,1
1,130,69,1
1,131,69,1
1,132,86,1
1,133,22,1
1,134,70,1
1,135,105,1
1,136,72,1
1,137,83,1
1,138,83,1
1,139,83,1
1,140,22,1
1,141,33,1
1,142,83,1
1,143,64,1
1,144,71,1
1,145,84,1
1,146,44,1
1,147,55,1
1,148,46,1
1,149,46,1
1,150,26,1
1,151,26,1
1,152,26,1
1,153,26,1
1,154,26,1
1,155,26,1
1,156,26,1
1,157,26,1
1,158,25,1
1,159,25,1
1,160,58,1
1,161,61,1
1,162,39,1
1,163,26,1
1,164,26,1
1,165,25,1
1,166,65,1
1,167,65,1
1,168,65,1
1,169,26,1
1,170,27,1
1,171,27,1
1,172,27,1
1,173,23,1
1,174,74,1
1,175,177,1
1,176,177,1
1,177,216,1
1,178,52,1
1,179,148,1
1,180,130,1
1,181,359,1
1,182,271,1
1,183,299,1
1,184,275,1
1,185,185,1
1,186,143,1
1,187,186,1
1,188,186,1
